Timestamp,,,Seconds,Velocity,Acceleration,Odometer,Latitude,Longitude,Heart Rate,Player Load,Positional Quality (%),HDOP,#Sats,activity,at/df,position
32:03.0,,,0,0.38,-0.095271066,0,34.6153388,135.5166363,0,0,45.9,1.14,7,,,
32:03.1,,,0.1,0.53,0.014810754,0.04,34.615339,135.5166367,0,0,46.3,1.14,7,,,
32:03.2,,,0.2,0.61,0.196138129,0.05,34.615339,135.5166368,0,0,47.9,1.14,7,,,
32:03.3,,,0.3,0.61,0.359107196,0.05,34.615339,135.5166367,0,0,47,1.14,7,,,
32:03.4,,,0.4,0.56,0.441643596,0.05,34.6153388,135.5166367,0,0,46.1,1.14,7,,,
32:03.5,,,0.5,0.47,0.419510037,0.05,34.6153388,135.5166365,0,0,44.6,1.14,7,,,
32:03.7,,,0.6,0.37,0.303537488,0.05,34.6153387,135.5166363,0,0,44.6,1.14,7,,,
32:03.7,,,0.7,0.27,0.126662835,0.05,34.6153385,135.5166365,0,0,42.2,1.14,7,,,
32:03.8,,,0.8,0.19,-0.072134636,0.05,34.6153387,135.5166363,0,0,42.2,1.14,7,,,
32:03.9,,,0.9,0.13,-0.257984728,0.05,34.6153387,135.516636,0,0,43.8,1.14,7,,,
32:04.0,,,1,0.09,-0.404168308,0.05,34.6153385,135.516636,0,0,44,1.14,7,,,
32:04.1,,,1.1,0.08,-0.494556844,0.21,34.6153383,135.5166353,0,0,44,1.14,7,,,
32:04.2,,,1.2,0.09,-0.523717403,0.27,34.6153378,135.5166352,0,0,44.7,1.14,7,,,
32:04.3,,,1.3,0.11,-0.49559027,0.33,34.6153372,135.5166352,0,0.1,46.1,1.14,7,,,
32:04.4,,,1.4,0.14,-0.42199561,0.38,34.615337,135.5166348,0,0.1,46.3,1.14,7,,,
32:04.5,,,1.5,0.16,-0.320333302,0.43,34.6153367,135.5166343,0,0.1,47,1.14,7,,,
32:04.6,,,1.6,0.17,-0.21129027,0.43,34.6153363,135.5166343,0,0.1,48,1.14,7,,,
32:04.7,,,1.7,0.17,-0.114504933,0.43,34.6153363,135.5166342,0,0.1,48.1,1.14,7,,,
32:04.8,,,1.8,0.16,-0.044059828,0.43,34.6153363,135.516634,0,0.1,50.7,1.14,7,,,
32:04.9,,,1.9,0.14,-0.005624521,0.43,34.6153362,135.516634,0,0.1,52,1.14,7,,,
32:05.0,,,2,0.12,0.004486552,0.43,34.615336,135.5166342,0,0.1,51.8,1.14,7,,,
32:05.1,,,2.1,0.11,-0.003816092,0.43,34.6153358,135.5166343,0,0.1,52.2,1.14,7,,,
32:05.2,,,2.2,0.1,-0.019084264,0.43,34.6153357,135.5166345,0,0.1,51.5,1.14,7,,,
32:05.3,,,2.3,0.1,-0.032273699,0.43,34.6153355,135.5166347,0,0.1,52.7,1.14,7,,,
32:05.4,,,2.4,0.1,-0.039317939,0.43,34.6153355,135.5166347,0,0.1,52.7,1.14,7,,,
32:05.5,,,2.5,0.1,-0.041274939,0.43,34.6153352,135.5166347,0,0.1,52.7,1.14,7,,,
32:05.6,,,2.6,0.09,-0.04257774,0.43,34.615335,135.5166347,0,0.1,51.6,1.14,7,,,
32:05.7,,,2.7,0.07,-0.047958259,0.43,34.6153348,135.5166345,0,0.1,50.7,1.14,7,,,
32:05.9,,,2.8,0.05,-0.059285834,0.43,34.6153347,135.5166345,0,0.1,50.7,1.14,7,,,
32:05.9,,,2.9,0.04,-0.07491035,0.43,34.6153345,135.5166343,0,0.1,50.1,1.14,7,,,
32:06.0,,,3,0.02,-0.091414236,0.43,34.6153343,135.5166342,0,0.1,50.5,1.14,7,,,
32:06.1,,,3.1,0.01,-0.105398312,0.43,34.6153342,135.5166342,0,0.1,50.7,1.14,7,,,
32:06.2,,,3.2,0.01,-0.11438036,0.43,34.615334,135.516634,0,0.1,50.1,1.14,7,,,
32:06.3,,,3.3,0,-0.116955943,0.43,34.6153338,135.516634,0,0.1,50.1,1.14,7,,,
32:06.4,,,3.4,0,-0.112295263,0.43,34.6153338,135.516634,0,0.1,49.7,1.14,7,,,
32:06.6,,,3.5,0,-0.100646108,0.43,34.6153337,135.5166338,0,0.1,50.6,1.14,7,,,
32:06.6,,,3.6,0,-0.085054293,0.43,34.6153335,135.5166337,0,0.1,50.6,1.14,7,,,
32:06.7,,,3.7,0.01,-0.067658551,0.83,34.6153332,135.5166332,0,0.1,51.3,1.14,7,,,
32:06.8,,,3.8,0.04,-0.041644581,0.92,34.6153325,135.5166328,0,0.1,50.6,1.14,7,,,
32:06.9,0:00:10,,3.9,0.12,0.010202912,1.02,34.6153317,135.5166322,0,0.1,48.5,1.14,7,,,
32:07.0,,,4,0.27,0.111214302,1.21,34.6153302,135.5166313,0,0.1,47.9,1.14,7,,,
32:07.1,,,4.1,0.49,0.286509126,1.44,34.6153283,135.5166303,0,0.1,47.6,1.14,7,,,
