Timestamp,,Seconds,Velocity,Acceleration,Odometer,Latitude,Longitude,Heart Rate,Player Load,Positional Quality (%),HDOP,#Sats,activity,at/df,position
00:43.0,,0,0.01,0.004181786,0,35.6726062,139.7181928,0,0,28.5,2.6499999,4,,,
00:43.1,,0.1,0.05,0.015600096,0.06,35.672606,139.7181922,0,0,27.1,2.6499999,4,,,
00:43.2,,0.2,0.1,0.049104702,0.15,35.6726068,139.7181922,0,0,28,2.6499999,4,,,
00:43.3,,0.3,0.17,0.109827109,0.21,35.6726072,139.7181918,0,0,29.5,2.6499999,4,,,
00:43.4,0:00:06,0.4,0.24,0.192223594,0.23,35.6726073,139.7181915,0,0,29.5,2.6499999,4,,,
00:43.5,,0.5,0.3,0.283320606,0.29,35.6726077,139.7181912,0,0,31.6,2.6499999,4,,,
00:43.6,,0.6,0.34,0.365837634,0.31,35.6726078,139.718191,0,0,31.6,2.6499999,4,,,
00:43.7,,0.7,0.36,0.422748864,0.35,35.6726077,139.7181905,0,0,31.6,2.6499999,4,,,
00:43.8,,0.8,0.36,0.442633659,0.39,35.672608,139.7181903,0,0,30.7,2.6499999,4,,,
00:43.9,,0.9,0.35,0.421837896,0.39,35.6726078,139.7181903,0,0,29.9,2.6499999,4,,,
00:44.0,,1,0.32,0.363177121,0.39,35.6726078,139.7181903,0,0,29.9,2.6499999,4,,,
00:44.1,,1.1,0.28,0.273661435,0.39,35.6726075,139.71819,0,0,26.5,2.6499999,4,,,
00:44.2,,1.2,0.24,0.163402587,0.39,35.6726077,139.7181902,0,0,26.5,2.6499999,4,,,
00:44.3,,1.3,0.19,0.044739023,0.39,35.6726073,139.7181898,0,0,27.1,2.6499999,4,,,
00:44.4,0:00:07,1.4,0.15,-0.069956616,0.39,35.6726072,139.7181897,0,0,27.1,2.6499999,4,,,
00:44.5,,1.5,0.11,-0.170499682,0.39,35.672607,139.7181895,0,0,27.1,2.6499999,4,,,
00:44.6,,1.6,0.09,-0.249750867,0.39,35.672607,139.7181893,0,0,27.1,2.6499999,4,,,
00:44.7,,1.7,0.06,-0.303904027,0.39,35.672607,139.7181892,0,0,27.8,2.6499999,4,,,
00:44.8,,1.8,0.05,-0.332393914,0.39,35.6726073,139.718189,0,0,29.3,2.6499999,4,,,
00:44.9,,1.9,0.04,-0.337257951,0.39,35.6726072,139.7181885,0,0,28.8,2.6499999,4,,,
00:45.0,,2,0.03,-0.322840691,0.39,35.6726073,139.7181883,0,0,27,2.6499999,4,,,
00:45.1,,2.1,0.02,-0.295204431,0.39,35.6726077,139.718188,0,0,26.4,2.6499999,4,,,
00:45.2,,2.2,0.01,-0.260299325,0.39,35.6726078,139.7181878,0,0,27,2.6499999,4,,,
00:45.3,,2.3,0.01,-0.222503856,0.39,35.6726078,139.7181877,0,0,29.3,2.6499999,4,,,
00:45.4,0:00:08,2.4,0,-0.184669718,0.39,35.6726075,139.7181873,0,0,29.8,2.6499999,4,,,
00:45.5,,2.5,0,-0.148549363,0.39,35.6726075,139.7181872,0,0,29.8,2.6499999,4,,,
00:45.6,,2.6,0,-0.114730917,0.39,35.6726073,139.7181868,0,0,29.8,2.6499999,4,,,
00:45.7,,2.7,0,-0.08356031,0.39,35.6726072,139.7181865,0,0,29.8,2.6499999,4,,,
00:45.8,,2.8,0,-0.056307066,0.39,35.6726072,139.7181862,0,0,29.8,2.6499999,4,,,
00:45.9,,2.9,0,-0.034162678,0.39,35.6726072,139.7181858,0,0,29.8,2.6499999,4,,,
00:46.0,,3,0,-0.017342305,0.39,35.672607,139.7181853,0,0,31.4,2.6499999,4,,,
00:46.1,,3.1,0,-0.005431847,0.39,35.6726068,139.718185,0,0,30.9,2.6499999,4,,,
00:46.2,,3.2,0,0.002318242,0.39,35.6726067,139.7181845,0,0,31.4,2.6499999,4,,,
00:46.3,,3.3,0,0.006781626,0.39,35.6726065,139.7181842,0,0,31.4,2.6499999,4,,,
00:46.4,0:00:09,3.4,0,0.008816708,0.39,35.6726063,139.7181838,0,0,31.4,2.6499999,4,,,
00:46.5,,3.5,0,0.009184867,0.39,35.6726062,139.7181833,0,0,31.4,2.6499999,4,,,
00:46.6,,3.6,0,0.008511843,0.39,35.6726058,139.7181828,0,0,31.4,2.6499999,4,,,
00:46.7,,3.7,0,0.007297045,0.39,35.672606,139.7181825,0,0,32,2.6499999,4,,,
00:46.8,,3.8,0,0.005914068,0.39,35.6726058,139.7181822,0,0,31.4,2.6499999,4,,,
00:46.9,,3.9,0,0.004575044,0.39,35.672606,139.7181818,0,0,30.9,2.6499999,4,,,
00:47.0,,4,0,0.003364414,0.39,35.6726068,139.718182,0,0,30.7,2.6499999,4,,,
00:47.1,,4.1,0,0.002317349,0.39,35.6726068,139.7181815,0,0,30.7,2.6499999,4,,,
00:47.2,,4.2,0,0.001449844,0.39,35.6726072,139.7181812,0,0,31.1,2.6499999,4,,,
00:47.3,,4.3,0,0.00076272,0.39,35.6726077,139.7181812,0,0,29.7,2.6499999,4,,,
00:47.4,0:00:10,4.4,0,0.000245447,0.39,35.6726085,139.7181807,0,0,29.7,2.6499999,4,,,
00:47.5,,4.5,0,-0.000120242,0.39,35.6726095,139.7181803,0,0,29.2,2.6499999,4,,,
00:47.6,,4.6,0.03,0.005825412,0.53,35.6726107,139.7181802,0,0.1,32.1,2.6499999,4,,,
00:47.7,,4.7,0.14,0.044021942,0.69,35.6726122,139.71818,0,0.1,33.2,2.6499999,4,,,
00:47.8,,4.8,0.34,0.155124813,0.89,35.672614,139.71818,0,0.1,34.3,2.6499999,4,,,
00:47.9,,4.9,0.58,0.362731099,1.08,35.6726157,139.7181797,0,0.1,31.5,2.6499999,4,,,
00:48.0,,5,0.84,0.656066716,1.48,35.6726192,139.718179,0,0.1,31.4,2.6499999,4,,,
00:48.1,,5.1,1.13,1.004886627,1.73,35.6726213,139.718178,0,0.1,32.9,2.6499999,4,,,
00:48.2,,5.2,1.43,1.377133012,1.98,35.6726235,139.7181773,0,0.2,35.7,2.6499999,4,,,
