Timestamp,Seconds,,Velocity,Acceleration,Odometer,Latitude,Longitude,Heart Rate,Player Load,Positional Quality (%),HDOP,#Sats,activity,at/df,position
31:24.0,0,,0,-2.09E-07,0,34.6139917,135.5189633,0,0,36.9,2.27,4,,,
31:24.1,0.1,,0,-1.86E-07,0,34.6139917,135.5189633,0,0,36.9,2.27,4,,,
31:24.2,0.2,,0,-1.57E-07,0,34.613992,135.5189632,0,0,34.6,2.27,4,,,
31:24.3,0.3,,0,-1.25E-07,0,34.6139923,135.518963,0,0,34.6,2.27,4,,,
31:24.4,0.4,,0,-9.48E-08,0,34.6139925,135.518963,0,0,34.6,2.27,4,,,
31:24.5,0.5,,0,-6.78E-08,0,34.6139928,135.518963,0,0,34.7,2.27,4,,,
31:24.6,0.6,,0,-4.52E-08,0,34.6139932,135.5189628,0,0,34.7,2.27,4,,,
31:24.7,0.7,,0,-2.71E-08,0,34.6139937,135.5189625,0,0,34.3,2.27,4,,,
31:24.8,0.8,,0.01,0.001225331,1.15,34.6139942,135.518962,0,0,34.3,2.27,4,,,
31:24.9,0.9,,0.03,0.009489384,1.23,34.6139948,135.5189617,0,0,34.3,2.27,4,,,
31:25.0,1,,0.07,0.032489542,1.36,34.6139958,135.518961,0,0,35,2.27,4,,,
31:25.1,1.1,,0.11,0.072510213,1.56,34.6139972,135.5189595,0,0,35,2.27,4,,,
31:25.2,1.2,,0.19,0.13273713,1.69,34.6139977,135.5189582,0,0.1,36.2,2.27,4,,,
31:25.3,1.3,0:21:21,0.28,0.220209926,1.9,34.6139992,135.5189568,0,0.1,37.1,2.27,4,,,
31:25.4,1.4,,0.4,0.336630136,2.24,34.6140017,135.5189548,0,0.1,39.7,2.27,4,,,
31:25.5,1.5,,0.6,0.490039736,2.51,34.614004,135.5189538,0,0.1,38.9,2.27,4,,,
31:25.6,1.6,,0.87,0.7053442,2.92,34.6140073,135.5189517,0,0.2,37.2,2.27,4,,,
31:25.7,1.7,,1.22,1.006334424,3.42,34.614011,135.5189487,0,0.2,37.7,2.27,4,,,
31:25.8,1.8,,1.63,1.397714019,3.75,34.6140137,135.518947,0,0.2,40.9,2.27,4,,,
31:25.9,1.9,,2.04,1.854684949,4.13,34.614017,135.518946,0,0.3,40.4,2.27,4,,,
31:26.0,2,,2.46,2.330758095,4.64,34.6140213,135.518944,0,0.4,42.3,2.27,4,,,
31:26.1,2.1,,2.89,2.785783052,5.13,34.6140255,135.5189423,0,0.4,40.4,2.27,4,,,
31:26.2,2.2,,3.3,3.191615343,5.69,34.61403,135.5189397,0,0.5,40.4,2.27,4,,,
31:26.3,2.3,0:21:22,3.69,3.5231359,6.22,34.6140345,135.5189377,0,0.5,38.9,2.27,4,,,
31:26.4,2.4,,4.04,3.76064086,6.81,34.6140398,135.5189368,0,0.6,39.1,2.27,4,,,
31:26.5,2.5,,4.36,3.894249439,7.4,34.6140448,135.5189348,0,0.7,41.1,2.27,4,,,
31:26.6,2.6,,4.66,3.926787853,8,34.6140502,135.5189337,0,0.8,40.6,2.27,4,,,
31:26.7,2.7,,4.92,3.869087219,8.59,34.6140552,135.5189315,0,0.8,38.1,2.27,4,,,
31:26.8,2.8,,5.16,3.73525095,9.22,34.6140607,135.5189302,0,0.9,34.5,2.27,4,,,
31:26.9,2.9,,5.37,3.540459156,9.82,34.614066,135.5189287,0,0.9,33.4,2.27,4,,,
31:27.0,3,,5.54,3.296010494,10.42,34.6140713,135.5189277,0,1.1,33.4,2.27,4,,,
31:27.1,3.1,,5.68,3.012836933,11,34.6140765,135.5189268,0,1.1,34,2.27,4,,,
31:27.2,3.2,,5.8,2.704371452,11.69,34.6140825,135.5189247,0,1.2,34.3,2.27,4,,,
31:27.3,3.3,0:21:23,5.91,2.387217045,12.33,34.614088,135.5189225,0,1.3,33.7,2.27,4,,,
31:27.4,3.4,,6.02,2.082103968,12.92,34.6140933,135.518922,0,1.4,31.7,2.27,4,,,
31:27.5,3.5,,6.11,1.803536057,13.65,34.6140997,135.5189205,0,1.5,34.3,2.27,4,,,
31:27.6,3.6,,6.19,1.555127859,14.27,34.6141053,135.5189197,0,1.6,32.5,2.27,4,,,
31:27.7,3.7,,6.27,1.337749481,14.96,34.6141113,135.518918,0,1.6,31.6,2.27,4,,,
31:27.8,3.8,,6.35,1.155535221,15.64,34.6141173,135.5189162,0,1.7,31.3,2.27,4,,,
31:27.9,3.9,,6.44,1.01420331,16.28,34.6141228,135.5189142,0,1.8,30.4,2.27,4,,,
31:28.0,4,,6.52,0.910313427,16.98,34.614129,135.5189125,0,1.8,30.4,2.27,4,,,
31:28.1,4.1,,6.58,0.830177844,17.7,34.6141353,135.518911,0,2,31.3,2.27,4,,,
31:28.2,4.2,,6.64,0.76395154,18.38,34.6141413,135.5189095,0,2,29,2.27,4,,,
31:28.3,4.3,0:21:24,6.7,0.709261358,19.09,34.6141475,135.5189073,0,2.1,31.3,2.27,4,,,
31:28.4,4.4,,6.75,0.663328528,19.79,34.6141535,135.518905,0,2.2,28.3,2.27,4,,,
31:28.5,4.5,,6.78,0.618048668,20.45,34.614159,135.5189023,0,2.2,30.2,2.27,4,,,
31:28.6,4.6,,6.78,0.561905563,21.12,34.6141648,135.5189002,0,2.3,31.5,2.27,4,,,
31:28.7,4.7,,6.79,0.489307493,21.81,34.614171,135.5188992,0,2.4,28.3,2.27,4,,,
31:28.8,4.8,,6.79,0.406240165,22.47,34.6141768,135.5188977,0,2.4,31.3,2.27,4,,,
31:28.9,4.9,,6.8,0.324977726,23.24,34.6141833,135.518895,0,2.6,27.4,2.27,4,,,
31:29.0,5,,6.82,0.256456584,23.89,34.6141887,135.518892,0,2.6,29.7,2.27,4,,,
31:29.1,5.1,,6.82,0.201708898,24.53,34.6141943,135.5188903,0,2.7,34.5,2.27,4,,,
